epoch,loss
0,87.67500941591246
1,85.72030582178581
2,83.89850250593594
3,82.20249060901001
4,80.61736823257442
5,79.13284427887005
6,77.74551179129617
7,76.45180251509355
8,75.24261899161833
9,74.10923503465166
10,73.04064065602158
11,72.02960552879861
12,71.07241188323704
13,70.16695110924873
14,69.30963493668487
15,68.49519510093491
16,67.72272009325246
17,66.98720880042308
18,66.28674148627454
19,65.61992765998468
20,64.9843692655223
21,64.37898144252532
22,63.79993147790901
23,63.24563804019881
24,62.71633653045243
25,62.210276930072915
26,61.72482820258893
27,61.26046938575578
28,60.81506225090368
29,60.388186025961815
30,59.97733429252551
31,59.58164869979788
32,59.20032899095719
33,58.833365599424354
34,58.47994404892579
35,58.138876637493894
36,57.810384522173415
37,57.4928666406776
38,57.18579410592265
39,56.88867063748795
40,56.60123753701967
41,56.32477157112999
42,56.05892066673954
43,55.80143694370963
44,55.55211067592431
45,55.31014450130003
46,55.07528725234707
47,54.848043427194966
48,54.627619249559814
49,54.41399245085792
50,54.20739104551602
51,54.00781355787345
52,53.81499892219668
53,53.62760897080141
54,53.44484672110687
55,53.26700454108401
56,53.093471780915614
57,52.92478599461319
58,52.76088616183287
59,52.60116568138393
60,52.445297256923276
61,52.293440550397364
62,52.145902796729516
63,52.00211672827278
64,51.86233570570302
65,51.725736072427914
66,51.59221235029508
67,51.46166366193681
68,51.33399348450615
69,51.209109418840214
70,51.08692297295277
71,50.967408674700124
72,50.850149668076824
73,50.73534283828296
74,50.6229134996741
75,50.51278996893056
76,50.40490341611706
77,50.299187724425266
78,50.195595763921645
79,50.09496005210574
80,49.99672592702318
81,49.90063274235193
82,49.80656733510351
83,49.71443035640987
84,49.624115518335415
85,49.53570954194186
86,49.44942502817668
87,49.36469618315153
88,49.28153239138848
89,49.19989241378914
90,49.11973644839304
91,49.04102606792601
92,48.96372416055634
93,48.88779487367018
94,48.81320356048958
95,48.73991672936846
96,48.66790199561235
97,48.59712803567781
98,48.52756454361662
99,48.459182189638355
100,48.3919525806732
101,48.32584822282389
102,48.26084248560302
103,48.19690956785793
104,48.13402446529181
105,48.072162939495016
